	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Hoxa10	1.2207900120318	-0.70251914340488	1.97790202187162	-0.355183995787673	0.722451753609699	0.999680625307699
Gm38393	9.9713929011345	0.215599213109286	0.613727282491102	0.351294816541599	0.725367183258616	0.999680625307699
Mmp14	4612.42134950619	0.029422606264115	0.254366200386559	0.115670266801964	0.907913871695266	0.999680625307699
Slc7a7	168.38635135554	0.176424708563067	0.132465702422361	1.3318519838482	0.182908831940006	0.999680625307699
Oxa1l	750.062419404448	0.000847630860393005	0.0747730820169795	0.0113360428315704	0.990955340159814	0.999680625307699
Heatr6	417.01688343018	0.056967819546938	0.0988258083806435	0.57644678531257	0.564313228967297	0.999680625307699
Ccl3	18.4600601235412	0.596433192741644	0.499555699663775	1.1939273100939	0.232506403502352	0.999680625307699
Wfdc18	6.93927427020102	-0.856794916193306	1.28385990126681	-0.667358576545535	0.504543118606692	0.999680625307699
Ilf2	1011.34880956339	-0.0353552044605887	0.0739152953291651	-0.47832054655457	0.632422074605072	0.999680625307699
Chtop	2371.31163098695	0.0173565741710554	0.0521299171317654	0.332948432033457	0.739173209583249	0.999680625307699
Snapin	1088.20286415526	-0.0210820781538155	0.0685420278054658	-0.307578850944564	0.758402815038899	0.999680625307699
S100a4	2.5857623993072	-1.52296159934201	1.21351132483705	-1.25500402688579	0.209477298138965	0.999680625307699
S100a5	60.2392633057556	0.192167866516858	1.38351431793988	0.138898357628135	0.889530468810876	0.999680625307699
S100a6	1230.92062043658	0.153151330809009	0.119971120159716	1.27656831581735	0.201754693808098	0.999680625307699
Scn4a	82.715283321319	0.309336126347784	0.39512168282649	0.782888258966092	0.433692732793132	0.999680625307699
Icam2	317.858047342333	0.0940683559475213	0.142148198704582	0.661762560516283	0.508123403818679	0.999680625307699
Mapk7	532.513705382523	-0.168241772954336	0.0941323653496192	-1.78728933804505	0.0738907363691863	0.999680625307699
Epn2	1043.85787187478	-0.0631356784791811	0.0983590506844676	-0.641889872257085	0.520944690546213	0.999680625307699
B9d1	172.845235747529	-0.105962166498379	0.160365708814214	-0.660753270021946	0.508770555361133	0.999680625307699
Sec24b	1062.99963456519	0.088891739293788	0.0935159441749159	0.950551695521797	0.341831999591956	0.999680625307699
N4bp3	263.014403409457	-0.157117566246845	0.194659266314668	-0.807141469406668	0.419584982537788	0.999680625307699
Rmnd5b	591.153299787544	0.026439777059964	0.0883064525016283	0.299409344515074	0.764627733125301	0.999680625307699
Nhp2	368.509020571125	-0.0600084461261156	0.101620393249113	-0.590515783372441	0.55484490734267	0.999680625307699
Vps9d1	557.228378393177	0.0407975732448682	0.0885696407344716	0.460627060317177	0.645066193718461	0.999680625307699
Zfp276	340.236800086225	-0.112033692978607	0.105810469588568	-1.05881481685354	0.289684124381109	0.999680625307699
Mfsd10	654.987994652651	-0.0191514573015151	0.105863339142821	-0.180907360910633	0.856440291015893	0.999680625307699
Luzp1	1111.11109889566	0.0405939230003673	0.106443371323102	0.38136637815752	0.702931405631237	0.999680625307699
Slc13a2	2.26992766446561	-0.240701198502634	1.54613768879727	-0.15567901891705	0.876286035988788	0.999680625307699
Kctd10	1451.39785622834	-0.114089041007391	0.0789665870827127	-1.44477614168496	0.148520774633799	0.999680625307699
Poldip2	1073.35178635632	-0.047839974088561	0.0769069291774235	-0.622050244369979	0.533908830304578	0.999680625307699
Sebox	23.364259386668	0.44332796575224	0.346375748820219	1.27990474870786	0.200578637340977	0.999680625307699
Ift20	738.639031040715	-0.0463827871003366	0.0950895237567164	-0.487780201939023	0.625705536153216	0.999680625307699
Col6a1	15090.5398801325	0.121080968623522	0.123491496439416	0.980480212116653	0.326849132616865	0.999680625307699
